id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0018e725-d250-43be-bae4-9de43db72d66,wellbuilt.design,available,19.99,,78,6,10,name.com,,
00872052-1ea0-4c49-8d97-4f50ab13989a,thanksbe.design,available,19.99,,60,1,9,name.com,,
009a94c8-7a80-4724-af07-b5b9b283e0af,males.design,available,19.99,,58,9,5,name.com,,
00b71510-8efb-41fa-8bb5-21f8b37fa37d,goonthen.design,available,19.99,,48,0,10,name.com,,
00d76c61-7433-4221-9f53-f97b0f016c23,GuptaEmpire.design,available,68.98,,64,1,12,namecheap,,
00e60bae-f550-4ac0-81d3-8a7c12e16f6c,uponthewhole.design,available,19.99,,46,1,14,name.com,,
00fc1f44-e0ba-40a5-8c35-5fb7ae10089a,eachtohisown.design,available,19.99,,46,0,15,name.com,,
0102c360-2755-48d8-8be8-1e9bad50fa62,inunison.design,available,19.99,,72,4,9,name.com,,
0115dee2-ddff-4c6c-867d-ac06d96a30b3,thebird.design,available,19.99,,58,6,8,name.com,,
013a49e0-a9f7-4d8e-9a2c-b72b23003efe,gotobed.design,available,19.99,,72,3,9,name.com,,
0151dd9f-6126-422e-8bde-6d0db6193d58,teaspoons.design,available,19.99,,56,3,9,name.com,,
01818a00-6bdc-4a59-a2a3-64762612a658,switches.design,available,19.99,,58,7,8,name.com,,
0188735a-3f3f-463f-9931-3790c22f310f,faintest.design,available,19.99,,56,1,8,name.com,,
01a83ef9-ecdd-4fcf-8507-2643608c09ea,pantihose.design,available,19.99,,70,2,9,name.com,,
01cba7c2-43bd-4f8c-b1f2-218fdf371163,macaronicheese.design,available,19.99,,72,1,15,name.com,,
020b2f21-e9c9-46c1-bba0-f56af57681b4,ifpossible.design,available,19.99,,64,1,11,name.com,,
023d7f86-0969-40a9-9a72-fe05b3349bb9,overanxious.design,available,19.99,,64,1,12,name.com,,
0244e957-285f-42ce-904d-616baa8d4335,gonedownthetube.design,available,19.99,,30,1,18,name.com,,
024a5280-1084-4ecf-bc44-4024f3a5dfb3,announces.design,available,19.99,,58,2,9,name.com,,
0254995d-038e-4390-a403-c899fb08ab52,CountyofJefferson.design,available,19.99,,44,0,19,name.com,,
02630a49-3f6e-4bc0-b75d-40cc3e973403,shoppers.design,available,19.99,,64,10,8,name.com,,
0267e590-7587-47cd-b255-b4a133703aeb,takealeak.design,available,19.99,,63,1,11,name.com,,
02a89e25-bf00-4ff8-a0c8-89538eb41838,gothrough.design,available,19.99,,70,2,10,name.com,,
02b709aa-2990-4289-aa86-37d60bedddcb,keepitmoving.design,available,19.99,,68,5,14,name.com,,
02ce35bd-689c-4779-af31-762380600451,shovels.design,available,19.99,,47,5,7,name.com,,
02d79e4c-991e-4ad0-9fc4-ccab0354b463,dusts.design,available,19.99,,52,3,5,name.com,,
02da22dc-1c6b-416b-a3fe-ef5ee0bc12b8,supports.design,available,19.99,,64,12,8,name.com,,
02dca2af-67ef-44f8-b7c0-62efd0710447,turninto.design,available,19.99,,86,3,9,name.com,,
031cd13e-f0c6-4318-9b38-3f0a1b202d09,Frenchthyme.design,available,68.98,,74,1,12,namecheap,,
03345972-5561-493a-b5f0-de0cf1546611,filets.design,available,19.99,,66,2,6,name.com,,
03623dbd-6e3e-40cf-b475-600a7d2fe6c2,teachers.design,available,19.99,,56,22,8,name.com,,
0375abeb-dd5b-4b64-96b5-ddd2f7c7f622,intheprocess.design,available,19.99,,52,1,14,name.com,,
0385332c-ce32-4d2f-b6c0-9a2372bc2488,packages.design,available,19.99,,54,13,8,name.com,,
03883552-5ca4-41cc-a2c2-bc4a2f70cb36,getoffwith.design,available,19.99,,76,0,12,name.com,,
038a1047-0cf7-4c08-a54a-f84a710c4004,warned.design,available,19.99,,54,4,6,name.com,,
039b2300-80fb-4c6b-80e1-c1eebabc4773,germs.design,available,19.99,,40,5,5,name.com,,
03c4815f-c5af-491e-a45d-0366b27df445,concertgoers.design,available,19.99,,59,1,12,name.com,,
03deb68d-7647-4120-92a0-c8cd59d32206,turnedon.design,available,19.99,,52,3,9,name.com,,
03ec7450-3a16-4c25-94b9-37ce3582341e,showingup.design,available,19.99,,59,4,10,name.com,,
03fcf9ba-1a59-44a0-8c49-23ffe85391a1,ambitions.design,available,19.99,,64,7,9,name.com,,
04093b78-8a65-437f-bead-654e38b084cf,plateglass.design,available,19.99,,60,1,11,name.com,,
04271701-056e-4385-8fef-1bb5efa9049a,sanded.design,available,19.99,,66,1,6,name.com,,
0439b909-63c1-4ec7-9e4d-caf00cc41df2,breastfeed.design,available,19.99,,76,3,11,name.com,,
044973ab-52a5-45eb-8b91-26277b5ef0d5,edamame.design,available,19.99,,80,9,7,name.com,,
044ffd86-d14b-460f-912b-c6785d8071c2,likeashot.design,available,19.99,,56,1,11,name.com,,
0451591e-e2fa-44c8-9a6d-390195b9b65f,errors.design,available,19.99,,46,11,6,name.com,,
